id,ordered_id,dealership_id
1,1,55
2,1,123
3,1,37
4,2,6
5,2,60
6,2,40
7,3,105
8,3,123
9,3,12
10,4,118
11,4,73
12,4,25
13,5,128
14,5,27
15,5,63
16,6,128
17,6,45
18,6,115
19,7,120
20,7,33
21,7,49
22,8,71
23,8,54
24,8,71
25,9,127
26,9,112
27,9,13
28,10,63
29,10,93
30,10,94
31,11,97
32,11,114
33,11,29
34,12,129
35,12,15
36,12,71
37,13,83
38,13,66
39,13,16
40,14,60
41,14,104
42,14,85
43,15,118
44,15,62
45,15,31
46,16,114
47,16,145
48,16,128
49,17,85
50,17,36
51,17,98
52,18,111
53,18,108
54,18,31
55,19,56
56,19,66
57,19,138
58,20,67
59,20,6
60,20,141
61,21,42
62,21,31
63,21,27
64,22,90
65,22,7
66,22,99
67,23,7
68,23,114
69,23,15
70,24,76
71,24,19
72,24,93
73,25,137
74,25,135
75,25,28
76,26,121
77,26,114
78,26,90
79,27,94
80,27,141
81,27,57
82,28,128
83,28,75
84,28,82
85,29,34
86,29,82
87,29,113
88,30,52
89,30,3
90,30,3
91,31,25
92,31,71
93,31,69
94,32,57
95,32,115
96,32,81
97,33,104
98,33,44
99,33,67
100,34,101
101,34,95
102,34,21
103,35,26
104,35,102
105,35,18
106,36,23
107,36,18
108,36,107
109,37,123
110,37,73
111,37,34
112,38,55
113,38,66
114,38,32
115,39,85
116,39,106
117,39,123
118,40,94
119,40,77
120,40,122
121,41,32
122,41,104
123,41,36
124,42,43
125,42,72
126,42,6
127,43,138
128,43,58
129,43,143
130,44,107
131,44,94
132,44,10
133,45,29
134,45,63
135,45,64
136,46,20
137,46,131
138,46,34
139,47,2
140,47,46
141,47,76
142,48,17
143,48,125
144,48,43
145,49,85
146,49,61
147,49,129
148,50,10
149,50,69
150,50,108
151,51,74
152,51,21
153,51,90
154,52,122
155,52,71
156,52,13
157,53,45
158,53,45
159,53,127
160,54,129
161,54,132
162,54,23
163,55,126
164,55,28
165,55,38
166,56,134
167,56,100
168,56,114
169,57,15
170,57,3
171,57,107
172,58,104
173,58,51
174,58,12
175,59,25
176,59,94
177,59,110
178,60,17
179,60,93
180,60,38
181,61,20
182,61,11
183,61,50
184,62,118
185,62,30
186,62,55
187,63,64
188,63,120
189,63,33
190,64,111
191,64,91
192,64,28
193,65,60
194,65,25
195,65,53
196,66,9
197,66,130
198,66,44
199,67,50
200,67,83
201,67,143
202,68,143
203,68,1
204,68,70
205,69,114
206,69,87
207,69,5
208,70,3
209,70,63
210,70,2
211,71,58
212,71,139
213,71,140
214,72,117
215,72,25
216,72,45
217,73,40
218,73,4
219,73,33
220,74,71
221,74,115
222,74,71
223,75,145
224,75,107
225,75,119
226,76,125
227,76,126
228,76,99
229,77,65
230,77,33
231,77,38
232,78,39
233,78,106
234,78,107
235,79,75
236,79,134
237,79,96
238,80,104
239,80,25
240,80,104
241,81,103
242,81,95
243,81,16
244,82,37
245,82,41
246,82,146
247,83,13
248,83,104
249,83,24
250,84,29
251,84,45
252,84,77
253,85,70
254,85,32
255,85,96
256,86,9
257,86,33
258,86,141
259,87,115
260,87,50
261,87,34
262,88,122
263,88,76
264,88,124
265,89,39
266,89,67
267,89,110
268,90,74
269,90,127
270,90,33
271,91,142
272,91,93
273,91,111
274,92,74
275,92,100
276,92,112
277,93,41
278,93,59
279,93,62
280,94,38
281,94,130
282,94,80
283,95,95
284,95,2
285,95,69
286,96,114
287,96,53
288,96,72
289,97,126
290,97,41
291,97,109
292,98,107
293,98,118
294,98,11
295,99,131
296,99,60
297,99,61
298,100,88
299,100,126
300,100,124
301,101,139
302,101,136
303,101,39
304,102,91
305,102,4
306,102,107
307,103,80
308,103,115
309,103,76
310,104,108
311,104,145
312,104,24
313,105,99
314,105,17
315,105,145
316,106,37
317,106,99
318,106,16
319,107,116
320,107,135
321,107,121
322,108,47
323,108,91
324,108,5
325,109,128
326,109,83
327,109,126
328,110,54
329,110,6
330,110,98
331,111,26
332,111,140
333,111,129
334,112,79
335,112,54
336,112,117
337,113,64
338,113,88
339,113,27
340,114,23
341,114,99
342,114,145
343,115,55
344,115,14
345,115,36
346,116,7
347,116,100
348,116,144
349,117,122
350,117,43
351,117,5
352,118,4
353,118,95
354,118,36
355,119,83
356,119,44
357,119,51
358,120,46
359,120,122
360,120,35
361,121,11
362,121,91
363,121,118
364,122,52
365,122,128
366,122,76
367,123,105
368,123,17
369,123,59
370,124,102
371,124,87
372,124,5
373,125,102
374,125,46
375,125,106
376,126,56
377,126,141
378,126,24
379,127,115
380,127,141
381,127,108
382,128,120
383,128,106
384,128,85
385,129,91
386,129,106
387,129,130
388,130,132
389,130,97
390,130,73
391,131,36
392,131,141
393,131,120
394,132,129
395,132,29
396,132,122
397,133,30
398,133,38
399,133,104
400,134,42
401,134,92
402,134,7
403,135,40
404,135,45
405,135,54
406,136,76
407,136,146
408,136,140
409,137,20
410,137,42
411,137,49
412,138,105
413,138,127
414,138,142
415,139,121
416,139,87
417,139,116
418,140,9
419,140,11
420,140,3
421,141,9
422,141,64
423,141,18
424,142,67
425,142,8
426,142,87
427,143,126
428,143,92
429,143,37
430,144,117
431,144,134
432,144,35
433,145,16
434,145,79
435,145,43
436,146,146
437,146,107
438,146,18
439,147,85
440,147,39
441,147,88
442,148,88
443,148,94
444,148,85
445,149,78
446,149,125
447,149,125
448,150,84
449,150,106
450,150,3
451,151,16
452,151,99
453,151,141
454,152,140
455,152,107
456,152,26
457,153,81
458,153,17
459,153,10
460,154,101
461,154,10
462,154,58
463,155,93
464,155,82
465,155,25
466,156,68
467,156,136
468,156,109
469,157,17
470,157,83
471,157,119
472,158,95
473,158,46
474,158,5
475,159,46
476,159,96
477,159,67
478,160,69
479,160,18
480,160,63
481,161,132
482,161,123
483,161,135
484,162,17
485,162,69
486,162,68
487,163,69
488,163,25
489,163,21
490,164,58
491,164,67
492,164,132
493,165,14
494,165,114
495,165,129
496,166,29
