id,customer,vehicle,kit_optional,dealership,kiosk,status,created_at,modified_at
1,73,7,3,37,47,p,2015-12-19 01:31:50.509233+00,2015-06-08 02:49:47.500937+00
2,87,3,2,118,152,c,2015-05-21 22:55:47.405994+00,2015-06-08 02:49:47.501037+00
3,54,9,1,100,147,a,2015-06-11 04:27:50.206893+00,2015-06-08 02:49:47.501117+00
4,17,1,1,8,124,c,2015-03-06 08:29:37.933810+00,2015-06-08 02:49:47.501198+00
5,25,7,1,109,50,c,2015-03-05 02:24:28.732650+00,2015-06-08 02:49:47.501279+00
6,200,7,1,88,148,p,2015-09-16 22:46:28.206577+00,2015-06-08 02:49:47.501352+00
7,17,11,1,105,217,c,2015-12-11 05:37:17.000562+00,2015-06-08 02:49:47.501435+00
8,181,6,3,40,58,a,2015-08-22 06:42:56.458654+00,2015-06-08 02:49:47.501514+00
9,148,3,1,29,230,a,2015-03-21 17:09:21.699154+00,2015-06-08 02:49:47.501590+00
10,65,2,1,72,32,c,2015-08-28 07:36:45.654657+00,2015-06-08 02:49:47.501678+00
11,177,10,1,81,279,p,2015-04-06 02:46:20.982743+00,2015-06-08 02:49:47.501758+00
12,188,7,1,114,197,p,2015-05-13 22:14:22.270845+00,2015-06-08 02:49:47.501836+00
13,127,10,1,5,7,p,2015-08-21 18:40:13.638541+00,2015-06-08 02:49:47.501888+00
14,189,4,1,18,283,p,2015-09-26 13:10:55.820130+00,2015-06-08 02:49:47.501933+00
15,38,2,2,55,286,a,2015-02-14 16:10:11.507702+00,2015-06-08 02:49:47.501979+00
16,35,8,2,99,65,c,2015-12-14 16:43:29.252695+00,2015-06-08 02:49:47.502023+00
17,127,2,2,103,265,p,2015-08-18 00:15:57.284733+00,2015-06-08 02:49:47.502068+00
18,150,2,3,69,282,c,2015-09-27 17:50:05.392865+00,2015-06-08 02:49:47.502115+00
19,91,6,1,57,274,p,2015-09-05 08:31:05.705412+00,2015-06-08 02:49:47.502161+00
20,30,2,1,142,162,a,2015-06-20 05:55:26.924445+00,2015-06-08 02:49:47.502217+00
21,87,7,1,47,255,a,2015-08-10 23:22:42.100486+00,2015-06-08 02:49:47.502294+00
22,158,11,2,129,95,c,2015-05-07 12:20:26.162909+00,2015-06-08 02:49:47.502380+00
23,92,2,1,59,137,a,2015-09-22 03:07:25.773107+00,2015-06-08 02:49:47.502458+00
24,113,1,2,9,12,c,2015-05-01 00:26:49.440421+00,2015-06-08 02:49:47.502535+00
25,183,9,1,36,84,a,2015-01-08 19:07:47.810008+00,2015-06-08 02:49:47.502615+00
26,197,5,1,47,167,a,2015-05-02 16:14:14.221908+00,2015-06-08 02:49:47.502683+00
27,138,2,2,115,105,c,2015-10-18 01:45:54.529869+00,2015-06-08 02:49:47.502731+00
28,69,3,3,39,28,a,2015-10-01 21:59:58.758263+00,2015-06-08 02:49:47.502775+00
29,14,11,3,102,151,p,2015-05-03 03:44:54.631214+00,2015-06-08 02:49:47.502821+00
30,92,8,2,33,103,c,2015-03-04 17:27:53.728619+00,2015-06-08 02:49:47.502865+00
31,57,2,3,26,31,p,2015-08-08 23:30:29.680301+00,2015-06-08 02:49:47.502911+00
32,32,6,3,136,6,a,2015-02-10 01:51:49.576093+00,2015-06-08 02:49:47.502957+00
33,136,3,2,29,23,a,2015-04-22 22:17:45.877714+00,2015-06-08 02:49:47.503001+00
34,38,8,1,129,174,a,2015-08-02 09:06:14.500711+00,2015-06-08 02:49:47.503046+00
35,106,7,1,140,146,a,2015-07-01 08:56:13.563773+00,2015-06-08 02:49:47.503093+00
36,8,2,2,140,80,c,2015-08-07 08:12:23.970984+00,2015-06-08 02:49:47.503136+00
37,192,3,1,34,245,p,2015-10-18 15:43:21.683069+00,2015-06-08 02:49:47.503180+00
38,82,1,1,104,214,c,2015-02-18 09:59:17.307527+00,2015-06-08 02:49:47.503224+00
39,45,5,2,59,64,a,2015-09-24 16:27:37.761650+00,2015-06-08 02:49:47.503268+00
40,49,3,1,91,20,c,2015-11-03 13:42:28.696376+00,2015-06-08 02:49:47.503312+00
41,169,2,1,82,147,a,2015-04-13 21:58:16.770113+00,2015-06-08 02:49:47.503357+00
42,47,2,1,40,196,p,2015-07-28 05:05:58.854650+00,2015-06-08 02:49:47.503401+00
43,1,10,3,108,249,c,2015-05-01 07:53:08.827039+00,2015-06-08 02:49:47.503445+00
44,115,9,3,20,15,p,2015-07-21 17:06:26.118108+00,2015-06-08 02:49:47.503489+00
45,150,1,2,28,88,c,2015-03-19 05:24:46.054377+00,2015-06-08 02:49:47.503533+00
46,18,9,3,76,50,a,2015-03-01 00:39:35.092984+00,2015-06-08 02:49:47.503578+00
47,192,10,3,64,23,c,2015-04-27 21:24:27.397395+00,2015-06-08 02:49:47.503622+00
48,174,1,2,43,33,c,2015-11-26 20:55:12.164808+00,2015-06-08 02:49:47.503667+00
49,120,11,1,61,39,p,2015-01-28 22:50:59.613398+00,2015-06-08 02:49:47.503712+00
50,117,10,2,38,92,c,2015-05-06 22:37:37.382902+00,2015-06-08 02:49:47.503756+00
51,76,5,2,79,131,p,2015-05-17 07:25:49.413005+00,2015-06-08 02:49:47.503801+00
52,163,7,3,141,182,p,2015-12-25 10:33:17.090068+00,2015-06-08 02:49:47.503846+00
53,36,2,3,118,225,a,2015-10-14 15:54:19.316742+00,2015-06-08 02:49:47.503889+00
54,50,5,1,100,26,p,2015-01-20 07:17:18.247441+00,2015-06-08 02:49:47.503934+00
55,143,9,1,34,270,p,2015-08-01 06:02:41.545059+00,2015-06-08 02:49:47.503978+00
56,23,9,3,120,214,c,2015-05-20 15:49:57.410389+00,2015-06-08 02:49:47.504022+00
57,151,7,3,143,147,a,2015-12-02 23:57:21.980379+00,2015-06-08 02:49:47.504066+00
58,18,6,2,11,79,a,2015-04-25 20:43:10.375491+00,2015-06-08 02:49:47.504110+00
59,13,6,2,39,69,a,2015-06-03 16:55:21.863750+00,2015-06-08 02:49:47.504155+00
60,108,5,1,117,279,p,2015-03-14 20:55:14.808155+00,2015-06-08 02:49:47.504199+00
61,34,11,2,43,69,c,2015-06-14 02:16:38.098942+00,2015-06-08 02:49:47.504244+00
62,24,8,3,144,86,c,2015-04-22 19:52:06.754858+00,2015-06-08 02:49:47.504289+00
63,30,4,1,47,132,a,2015-11-05 07:06:22.177506+00,2015-06-08 02:49:47.504332+00
64,59,5,3,122,115,a,2015-04-10 08:34:31.361496+00,2015-06-08 02:49:47.504376+00
65,32,5,3,11,281,p,2015-08-07 23:15:48.347028+00,2015-06-08 02:49:47.504453+00
66,137,5,2,13,206,a,2015-01-26 19:19:00.182755+00,2015-06-08 02:49:47.504503+00
67,75,6,2,137,29,p,2015-11-21 20:56:14.398376+00,2015-06-08 02:49:47.504547+00
68,142,11,2,132,105,a,2015-05-21 03:54:39.789185+00,2015-06-08 02:49:47.504592+00
69,28,8,3,27,285,c,2015-09-02 23:44:55.488195+00,2015-06-08 02:49:47.504637+00
70,49,4,1,65,10,c,2015-06-18 17:48:34.014469+00,2015-06-08 02:49:47.504681+00
71,98,10,1,57,198,c,2015-02-04 13:54:09.898042+00,2015-06-08 02:49:47.504728+00
72,34,8,1,36,170,a,2015-02-16 00:25:01.895598+00,2015-06-08 02:49:47.504772+00
73,88,3,3,12,157,p,2015-08-11 21:32:26.918251+00,2015-06-08 02:49:47.504815+00
74,130,6,3,38,111,c,2015-12-10 04:11:59.227367+00,2015-06-08 02:49:47.504862+00
75,166,1,3,47,52,a,2015-03-18 13:04:04.332933+00,2015-06-08 02:49:47.504906+00
76,55,11,2,113,132,c,2015-05-07 09:22:59.080921+00,2015-06-08 02:49:47.504950+00
77,53,1,1,86,9,p,2015-12-24 05:11:06.132593+00,2015-06-08 02:49:47.504993+00
78,66,2,3,4,198,p,2015-08-28 13:36:47.759670+00,2015-06-08 02:49:47.505038+00
79,4,4,1,35,115,a,2015-02-18 00:50:51.171259+00,2015-06-08 02:49:47.505082+00
80,40,6,2,101,18,a,2015-10-10 05:06:55.605911+00,2015-06-08 02:49:47.505127+00
81,26,10,2,66,123,p,2015-11-25 00:54:15.743548+00,2015-06-08 02:49:47.505171+00
82,80,9,3,90,57,p,2015-04-28 05:43:30.797784+00,2015-06-08 02:49:47.505216+00
83,105,6,2,34,37,c,2015-06-21 13:11:03.625822+00,2015-06-08 02:49:47.505260+00
84,194,11,1,50,62,c,2015-08-24 23:16:19.151427+00,2015-06-08 02:49:47.505304+00
85,162,3,1,38,194,c,2015-09-08 00:04:28.271275+00,2015-06-08 02:49:47.505350+00
86,178,8,1,11,59,c,2015-08-27 20:14:53.699520+00,2015-06-08 02:49:47.505393+00
87,134,1,2,114,204,a,2015-11-28 11:03:41.104621+00,2015-06-08 02:49:47.505437+00
88,65,1,2,115,257,c,2015-05-12 03:47:34.027498+00,2015-06-08 02:49:47.505481+00
89,148,8,1,104,152,c,2015-08-16 15:19:51.396951+00,2015-06-08 02:49:47.505525+00
90,116,1,2,106,274,p,2015-04-10 05:03:33.681474+00,2015-06-08 02:49:47.505571+00
91,183,5,3,2,175,a,2015-09-12 15:40:46.899208+00,2015-06-08 02:49:47.505616+00
92,33,1,1,143,224,p,2015-02-17 06:52:31.052751+00,2015-06-08 02:49:47.505660+00
93,109,5,2,115,204,p,2015-08-08 04:58:01.092018+00,2015-06-08 02:49:47.505704+00
94,161,7,2,40,279,c,2015-01-01 05:11:04.622950+00,2015-06-08 02:49:47.505750+00
95,44,10,1,22,227,a,2015-01-05 03:06:37.078455+00,2015-06-08 02:49:47.505795+00
96,63,7,3,82,223,a,2015-03-11 06:36:23.830512+00,2015-06-08 02:49:47.505841+00
97,18,2,2,53,210,a,2015-04-18 22:16:08.263167+00,2015-06-08 02:49:47.505887+00
98,20,11,2,6,81,a,2015-03-09 05:32:31.528270+00,2015-06-08 02:49:47.505931+00
99,138,10,2,33,102,c,2015-05-06 18:38:16.785998+00,2015-06-08 02:49:47.505976+00
100,19,9,1,27,26,p,2015-12-11 01:46:42.319413+00,2015-06-08 02:49:47.506021+00
101,153,5,1,85,145,a,2015-03-14 18:44:32.472217+00,2015-06-08 02:49:47.506066+00
102,63,2,1,97,103,c,2015-04-24 05:07:51.753868+00,2015-06-08 02:49:47.506111+00
103,119,1,3,8,239,c,2015-10-25 05:26:34.993929+00,2015-06-08 02:49:47.506156+00
104,148,11,2,22,13,c,2015-06-09 10:43:05.049525+00,2015-06-08 02:49:47.506201+00
105,190,10,1,96,203,c,2015-12-07 11:48:49.893269+00,2015-06-08 02:49:47.506245+00
106,147,6,3,16,26,c,2015-08-12 20:56:54.745160+00,2015-06-08 02:49:47.506292+00
107,51,2,1,75,197,p,2015-02-01 12:31:58.390522+00,2015-06-08 02:49:47.506336+00
108,121,10,1,16,204,a,2015-11-20 10:20:51.406584+00,2015-06-08 02:49:47.506382+00
109,194,3,1,46,119,p,2015-07-13 04:19:45.383895+00,2015-06-08 02:49:47.506427+00
110,13,7,2,44,59,a,2015-09-09 21:26:02.926438+00,2015-06-08 02:49:47.506471+00
111,122,5,2,29,210,c,2015-06-28 03:26:38.685102+00,2015-06-08 02:49:47.506515+00
112,178,6,3,85,198,c,2015-07-04 15:14:59.336276+00,2015-06-08 02:49:47.506559+00
113,136,9,1,57,209,c,2015-05-17 06:11:55.942324+00,2015-06-08 02:49:47.506604+00
114,93,2,2,91,12,p,2015-07-04 19:14:50.437750+00,2015-06-08 02:49:47.506647+00
115,150,1,2,5,53,p,2015-10-17 11:36:06.447441+00,2015-06-08 02:49:47.506692+00
116,90,2,1,103,114,p,2015-02-11 08:14:00.399834+00,2015-06-08 02:49:47.506736+00
117,125,7,3,55,103,a,2015-12-27 15:38:02.926289+00,2015-06-08 02:49:47.506781+00
118,38,9,1,74,95,p,2015-02-02 05:11:01.119715+00,2015-06-08 02:49:47.506825+00
119,126,3,2,69,270,c,2015-11-15 15:38:55.184395+00,2015-06-08 02:49:47.506870+00
120,137,11,1,71,70,c,2015-03-28 08:23:18.910854+00,2015-06-08 02:49:47.506915+00
121,69,8,1,44,235,c,2015-10-15 14:06:42.943121+00,2015-06-08 02:49:47.506958+00
122,44,4,3,56,74,c,2015-01-11 08:37:22.510422+00,2015-06-08 02:49:47.507003+00
123,116,4,2,9,64,a,2015-03-23 12:53:29.755903+00,2015-06-08 02:49:47.507047+00
124,85,5,3,58,185,c,2015-06-23 02:25:08.069287+00,2015-06-08 02:49:47.507091+00
125,172,8,2,59,19,p,2015-01-10 01:13:42.291526+00,2015-06-08 02:49:47.507136+00
126,174,7,3,123,171,c,2015-02-13 22:34:24.278418+00,2015-06-08 02:49:47.507181+00
127,40,2,1,93,88,a,2015-06-22 16:55:55.069621+00,2015-06-08 02:49:47.507224+00
128,102,8,1,107,250,a,2015-06-20 15:01:48.882719+00,2015-06-08 02:49:47.507270+00
129,195,8,2,131,6,c,2015-01-07 22:33:09.086555+00,2015-06-08 02:49:47.507317+00
130,29,7,2,140,251,a,2015-03-03 10:02:38.254391+00,2015-06-08 02:49:47.507362+00
131,20,6,1,74,219,a,2015-01-12 16:06:17.102849+00,2015-06-08 02:49:47.507407+00
132,83,8,1,103,90,c,2015-08-16 04:01:07.684638+00,2015-06-08 02:49:47.507452+00
133,158,1,3,142,73,c,2015-01-16 13:15:46.195874+00,2015-06-08 02:49:47.507495+00
134,192,1,3,12,161,a,2015-02-20 19:06:28.968758+00,2015-06-08 02:49:47.507539+00
135,99,9,1,41,16,c,2015-02-11 22:19:59.815121+00,2015-06-08 02:49:47.507583+00
136,163,2,3,118,22,a,2015-03-08 11:49:42.662631+00,2015-06-08 02:49:47.507628+00
137,103,10,2,25,39,a,2015-07-18 05:33:02.564353+00,2015-06-08 02:49:47.507672+00
138,184,10,2,57,114,c,2015-12-23 13:38:22.736217+00,2015-06-08 02:49:47.507715+00
139,43,3,2,94,244,p,2015-11-05 16:39:01.786518+00,2015-06-08 02:49:47.508036+00
140,67,7,1,119,26,p,2015-01-08 00:03:33.369981+00,2015-06-08 02:49:47.508086+00
141,40,1,3,121,6,a,2015-11-06 22:59:02.243652+00,2015-06-08 02:49:47.508129+00
142,172,10,2,99,27,c,2015-10-07 22:23:09.148994+00,2015-06-08 02:49:47.508176+00
143,170,3,1,9,66,p,2015-10-02 17:20:25.389298+00,2015-06-08 02:49:47.508220+00
144,178,7,3,4,135,a,2015-12-24 21:16:09.418079+00,2015-06-08 02:49:47.508264+00
145,94,1,1,90,122,a,2015-08-26 10:56:56.331219+00,2015-06-08 02:49:47.508309+00
146,138,1,1,95,46,p,2015-04-07 08:09:45.648874+00,2015-06-08 02:49:47.508353+00
147,160,9,3,39,16,p,2015-11-08 23:27:59.070638+00,2015-06-08 02:49:47.508397+00
148,107,2,2,93,71,p,2015-11-18 18:32:58.679584+00,2015-06-08 02:49:47.508479+00
149,35,5,2,131,94,c,2015-01-18 05:54:24.312436+00,2015-06-08 02:49:47.508526+00
150,61,11,2,113,25,p,2015-09-05 14:09:34.397420+00,2015-06-08 02:49:47.508573+00
151,85,5,2,66,88,p,2015-09-25 11:50:37.168783+00,2015-06-08 02:49:47.508616+00
152,161,10,3,40,38,c,2015-03-19 00:48:31.873272+00,2015-06-08 02:49:47.508659+00
153,157,5,3,70,155,a,2015-12-14 03:11:16.709506+00,2015-06-08 02:49:47.508703+00
154,131,3,3,13,264,c,2015-12-09 09:26:51.148998+00,2015-06-08 02:49:47.508748+00
155,154,1,1,78,122,p,2015-06-04 14:06:53.483492+00,2015-06-08 02:49:47.508792+00
156,147,6,2,87,57,a,2015-08-13 12:59:38.490504+00,2015-06-08 02:49:47.508837+00
157,139,3,2,50,68,c,2015-05-07 18:14:21.611601+00,2015-06-08 02:49:47.508881+00
158,146,8,1,106,167,c,2015-03-27 12:19:40.485289+00,2015-06-08 02:49:47.508925+00
159,65,8,1,30,151,a,2015-03-11 00:39:19.177410+00,2015-06-08 02:49:47.508968+00
160,54,4,3,3,134,p,2015-06-02 08:48:46.409250+00,2015-06-08 02:49:47.509013+00
161,139,11,2,100,80,a,2015-02-28 06:43:24.224050+00,2015-06-08 02:49:47.509057+00
162,45,6,3,97,274,p,2015-08-15 19:40:27.884319+00,2015-06-08 02:49:47.509101+00
163,189,7,1,55,169,c,2015-01-11 01:27:35.629706+00,2015-06-08 02:49:47.509145+00
164,153,8,3,17,31,a,2015-01-17 18:07:39.744291+00,2015-06-08 02:49:47.509189+00
165,74,11,3,130,219,c,2015-04-02 15:09:05.665022+00,2015-06-08 02:49:47.509232+00
166,129,1,3,140,46,c,2015-12-28 07:21:05.317217+00,2015-06-08 02:49:47.509276+00
167,119,4,3,39,105,c,2015-12-22 07:48:27.303059+00,2015-06-08 02:49:47.509321+00
168,12,4,1,11,261,a,2015-05-11 17:11:22.492035+00,2015-06-08 02:49:47.509365+00
169,197,5,2,81,280,p,2015-04-12 23:45:20.930500+00,2015-06-08 02:49:47.509409+00
170,159,2,1,81,98,a,2015-09-10 10:38:21.987346+00,2015-06-08 02:49:47.509453+00
171,49,9,3,104,211,a,2015-10-09 07:51:12.889722+00,2015-06-08 02:49:47.509498+00
172,21,4,3,29,181,c,2015-08-16 15:10:05.722897+00,2015-06-08 02:49:47.509543+00
173,16,9,2,133,11,p,2015-02-22 23:36:54.858357+00,2015-06-08 02:49:47.509586+00
174,136,3,3,24,113,a,2015-05-18 14:09:07.457080+00,2015-06-08 02:49:47.509630+00
175,193,3,1,98,168,p,2015-05-08 11:23:02.348967+00,2015-06-08 02:49:47.509674+00
176,28,2,3,52,14,a,2015-05-15 20:43:46.179689+00,2015-06-08 02:49:47.509717+00
177,99,9,1,8,192,c,2015-11-28 06:30:02.799041+00,2015-06-08 02:49:47.509761+00
178,135,9,1,130,271,c,2015-09-16 13:32:31.583728+00,2015-06-08 02:49:47.509806+00
179,23,5,2,61,206,a,2015-03-09 17:04:24.265366+00,2015-06-08 02:49:47.509852+00
180,172,1,1,93,282,p,2015-08-18 14:36:09.015426+00,2015-06-08 02:49:47.509896+00
181,74,4,1,130,98,a,2015-07-08 14:12:23.369806+00,2015-06-08 02:49:47.509941+00
182,60,4,1,102,168,c,2015-09-25 14:20:18.388655+00,2015-06-08 02:49:47.509985+00
183,41,1,1,70,81,c,2015-05-10 08:06:34.081270+00,2015-06-08 02:49:47.510030+00
184,169,5,3,133,139,p,2015-11-10 00:17:20.181290+00,2015-06-08 02:49:47.510074+00
185,200,3,2,6,73,p,2015-11-20 05:54:00.314759+00,2015-06-08 02:49:47.510118+00
186,37,6,3,140,256,a,2015-12-25 05:35:12.851163+00,2015-06-08 02:49:47.510162+00
187,44,3,3,83,218,p,2015-12-22 12:44:10.927986+00,2015-06-08 02:49:47.510206+00
188,181,8,3,38,128,p,2015-03-21 17:41:28.446789+00,2015-06-08 02:49:47.510250+00
189,189,9,3,58,115,a,2015-02-24 07:21:06.891819+00,2015-06-08 02:49:47.510294+00
190,8,7,1,53,273,p,2015-08-23 00:01:55.682576+00,2015-06-08 02:49:47.510339+00
